Date,Quarter,QuarterPrice,Symbol,Expiry,Close,High,Low,Volume
2026-05-31,Q2,15.363333384195961,SBN26.NYB,2026-06-30,14.989999771118164,15.420000076293945,14.920000076293945,84192
2026-06-30,Q2,15.363333384195961,SBN26.NYB,2026-06-30,14.989999771118164,15.420000076293945,14.920000076293945,84192
2026-07-31,Q3,15.489999771118164,SBV26.NYB,2026-09-30,15.489999771118164,15.880000114440918,15.40999984741211,41438
2026-08-31,Q3,15.489999771118164,SBV26.NYB,2026-09-30,15.489999771118164,15.880000114440918,15.40999984741211,41438
2026-09-30,Q3,15.489999771118164,SBV26.NYB,2026-09-30,15.489999771118164,15.880000114440918,15.40999984741211,41438
2026-10-31,Q4,15.769999821980793,SBH27.NYB,2027-02-26,16.329999923706055,16.670000076293945,16.229999542236328,19796
2026-11-30,Q4,15.769999821980793,SBH27.NYB,2027-02-26,16.329999923706055,16.670000076293945,16.229999542236328,19796
2026-12-31,Q4,15.769999821980793,SBH27.NYB,2027-02-26,16.329999923706055,16.670000076293945,16.229999542236328,19796
2027-01-31,Q1,16.256666819254555,SBH27.NYB,2027-02-26,16.329999923706055,16.670000076293945,16.229999542236328,19796
2027-02-28,Q1,16.256666819254555,SBK27.NYB,2027-04-30,16.110000610351562,16.399999618530273,16.0,6052
2027-03-31,Q1,16.256666819254555,SBK27.NYB,2027-04-30,16.110000610351562,16.399999618530273,16.0,6052
2027-04-30,Q2,15.363333384195961,SBK27.NYB,2027-04-30,16.110000610351562,16.399999618530273,16.0,6052
2027-05-31,Q2,15.363333384195961,SBN27.NYB,2027-06-30,16.079999923706055,16.329999923706055,15.960000038146973,4730
2027-06-30,Q2,15.363333384195961,SBN27.NYB,2027-06-30,16.079999923706055,16.329999923706055,15.960000038146973,4730
2027-07-31,Q3,15.489999771118164,SBV27.NYB,2027-09-30,16.299999237060547,16.510000228881836,16.190000534057617,2960
2027-08-31,Q3,15.489999771118164,SBV27.NYB,2027-09-30,16.299999237060547,16.510000228881836,16.190000534057617,2960
2027-09-30,Q3,15.489999771118164,SBV27.NYB,2027-09-30,16.299999237060547,16.510000228881836,16.190000534057617,2960
2027-10-31,Q4,15.769999821980793,SBH28.NYB,2028-02-29,16.889999389648438,17.040000915527344,16.790000915527344,567
2027-11-30,Q4,15.769999821980793,SBH28.NYB,2028-02-29,16.889999389648438,17.040000915527344,16.790000915527344,567
2027-12-31,Q4,15.769999821980793,SBH28.NYB,2028-02-29,16.889999389648438,17.040000915527344,16.790000915527344,567
2028-01-31,Q1,16.256666819254555,SBH28.NYB,2028-02-29,16.889999389648438,17.040000915527344,16.790000915527344,567
2028-02-29,Q1,16.256666819254555,SBH28.NYB,2028-02-29,16.889999389648438,17.040000915527344,16.790000915527344,567
2028-03-31,Q1,16.256666819254555,SBK28.NYB,2028-04-28,16.579999923706055,16.709999084472656,16.479999542236328,233
2028-04-30,Q2,15.363333384195961,SBN28.NYB,2028-06-30,16.510000228881836,16.579999923706055,16.40999984741211,104
2028-05-31,Q2,15.363333384195961,SBN28.NYB,2028-06-30,16.510000228881836,16.579999923706055,16.40999984741211,104
2028-06-30,Q2,15.363333384195961,SBN28.NYB,2028-06-30,16.510000228881836,16.579999923706055,16.40999984741211,104
2028-07-31,Q3,15.489999771118164,SBV28.NYB,2028-09-29,16.709999084472656,16.780000686645508,16.610000610351562,85
2028-08-31,Q3,15.489999771118164,SBV28.NYB,2028-09-29,16.709999084472656,16.780000686645508,16.610000610351562,85
2028-09-30,Q3,15.489999771118164,SBH29.NYB,2029-02-28,17.219999313354492,17.219999313354492,17.219999313354492,1
2028-10-31,Q4,15.769999821980793,SBH29.NYB,2029-02-28,17.219999313354492,17.219999313354492,17.219999313354492,1
2028-11-30,Q4,15.769999821980793,SBH29.NYB,2029-02-28,17.219999313354492,17.219999313354492,17.219999313354492,1
2028-12-31,Q4,15.769999821980793,SBH29.NYB,2029-02-28,17.219999313354492,17.219999313354492,17.219999313354492,1
2029-01-31,Q1,16.256666819254555,SBH29.NYB,2029-02-28,17.219999313354492,17.219999313354492,17.219999313354492,1
2029-02-28,Q1,16.256666819254555,SBH29.NYB,2029-02-28,17.219999313354492,17.219999313354492,17.219999313354492,1
